Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-500x150,1,1.106 m²,0.000 m²,Flat on Top,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-500x250,1,1.197 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-500x300,2,2.479 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-500x350,3,3.894 m²,0.000 m²,,,
Plenum_Box_Supply Unit_Rect Ducts: Plenum_Box_Supply Unit_Rect Ducts,Duct Wrap,25 mm,1162x216-350x250-450x150,1,1.948 m²,0.000 m²,,,
Plenum_Box_Supply Unit_Rect Ducts: Plenum_Box_Supply Unit_Rect Ducts,Duct Wrap,25 mm,1162x216-400x300-400x250,1,1.921 m²,0.000 m²,,,
'3: 37,,,,37,32.864 m²,8.677 m²,,,
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x1700-400x1700,4,0.000 m²,7.917 m²,,90.00°,0.75
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,1700x400-1700x350,2,4.879 m²,0.000 m²,"Flat on Right, Left, Bottom",,
'4: 6,,,,6,4.879 m²,7.917 m²,,,
Grand total: 628,,,,628,137.190 m²,90.727 m²,,,
